Date,Open,High,Low,Close,Adj. Close,Change,Volume
2002-07-30,81.75,81.90,81.52,81.52,36.388,0.00%,6100
2002-07-31,81.95,82.80,81.90,82.53,36.838,+1.24%,29400
2002-08-01,82.54,83.02,82.54,83.00,37.048,+0.57%,25000
2002-08-02,83.16,84.10,82.88,83.85,37.428,+1.02%,52800
2002-08-05,84.04,84.44,83.85,84.22,37.593,+0.44%,61100
2002-08-06,83.87,83.90,83.22,83.50,37.271,-0.85%,64900
2002-08-07,83.60,84.14,83.36,83.70,37.361,+0.24%,40300
2002-08-08,83.58,83.77,83.36,83.70,37.361,+0.00%,40900
2002-08-09,84.00,84.88,84.00,84.88,37.887,+1.41%,35900
2002-08-12,85.30,86.70,85.14,85.40,38.120,+0.61%,32100
2002-08-13,85.78,86.47,85.37,86.45,38.588,+1.23%,75400
2002-08-14,87.46,87.90,86.75,86.78,38.736,+0.38%,130000
2002-08-15,86.38,86.50,85.85,86.02,38.396,-0.88%,87100
2002-08-16,86.44,86.52,84.82,85.06,37.968,-1.12%,85000
2002-08-19,85.05,85.34,84.71,85.32,38.084,+0.31%,47300
2002-08-20,85.62,86.29,85.60,86.27,38.508,+1.11%,40800
2002-08-21,85.68,86.10,85.63,85.81,38.303,-0.53%,40000
2002-08-22,85.55,85.55,85.06,85.06,37.968,-0.87%,34400
2002-08-23,85.20,85.95,85.20,85.90,38.343,+0.99%,20100
2002-08-26,85.70,86.21,85.67,85.98,38.378,+0.09%,23900
2002-08-27,85.40,85.68,85.20,85.44,38.137,-0.63%,301800
2002-08-28,86.04,86.18,85.84,85.87,38.329,+0.50%,18100
2002-08-29,86.76,86.86,86.35,86.56,38.637,+0.80%,135700
2002-08-30,86.75,87.13,86.45,87.08,38.869,+0.60%,78100
2002-09-03,87.08,88.04,87.00,88.04,39.467,+1.10%,102100
2002-09-04,88.03,88.30,87.84,88.02,39.458,-0.02%,66300
2002-09-05,88.57,88.65,87.38,88.50,39.673,+0.55%,648400
2002-09-06,87.97,88.19,87.20,87.46,39.207,-1.18%,140000
2002-09-09,87.50,87.83,87.26,87.33,39.149,-0.15%,83800
2002-09-10,87.17,88.00,87.00,87.75,39.337,+0.48%,336000
2002-09-11,87.00,87.30,86.75,87.29,39.131,-0.52%,177700
2002-09-12,87.48,88.14,87.47,87.97,39.436,+0.78%,43400
2002-09-13,88.33,88.94,88.18,88.78,39.799,+0.92%,155100
2002-09-16,89.20,89.22,88.90,88.93,39.866,+0.17%,73000
2002-09-17,88.64,89.32,88.36,89.10,39.942,+0.19%,75400
2002-09-18,89.16,89.56,89.02,89.12,39.951,+0.02%,196600
2002-09-19,89.70,89.77,89.26,89.72,40.220,+0.67%,109900
2002-09-20,89.45,89.52,89.06,89.30,40.032,-0.47%,113500
2002-09-23,90.00,90.24,89.77,90.10,40.390,+0.90%,163200
2002-09-24,90.30,90.94,90.21,90.68,40.650,+0.64%,251900
2002-09-25,90.10,90.36,89.26,89.58,40.157,-1.21%,127200
2002-09-26,89.05,89.53,88.61,89.37,40.063,-0.23%,429000
2002-09-27,89.53,90.04,89.48,90.04,40.364,+0.75%,298200
2002-09-30,90.66,90.90,90.08,90.40,40.525,+0.40%,297800
2002-10-01,89.16,89.30,88.80,88.94,40.022,-1.62%,257500
2002-10-02,89.24,89.48,88.84,89.45,40.252,+0.57%,91000
2002-10-03,89.30,89.51,88.80,89.23,40.153,-0.25%,29900
2002-10-04,88.40,89.72,88.40,89.51,40.279,+0.31%,131000
2002-10-07,89.90,89.96,89.46,89.66,40.346,+0.17%,433800
2002-10-08,89.50,90.52,89.36,89.69,40.360,+0.03%,530900
2002-10-09,90.30,90.38,89.95,90.15,40.567,+0.51%,402900
2002-10-10,90.17,90.17,89.28,89.44,40.247,-0.79%,97100
2002-10-11,89.10,89.22,88.06,88.38,39.770,-1.19%,421800
2002-10-14,88.50,88.55,88.07,88.25,39.712,-0.15%,18300
2002-10-15,87.00,87.30,86.15,86.16,38.771,-2.37%,297100
2002-10-16,86.60,86.60,85.89,86.20,38.789,+0.05%,125200
2002-10-17,85.14,85.56,85.07,85.15,38.317,-1.22%,233400
2002-10-18,85.02,85.39,84.28,85.37,38.416,+0.26%,459100
2002-10-21,85.50,85.60,84.50,84.54,38.042,-0.97%,134900
2002-10-22,84.85,84.85,84.22,84.30,37.934,-0.28%,205000
2002-10-23,84.75,85.20,84.18,84.33,37.948,+0.04%,127800
2002-10-24,84.16,85.25,84.08,85.07,38.281,+0.88%,339600
2002-10-25,85.35,85.56,85.15,85.38,38.420,+0.36%,146100
2002-10-28,85.56,85.64,85.20,85.26,38.366,-0.14%,97800
2002-10-29,85.82,86.89,85.77,86.37,38.866,+1.30%,125000
2002-10-30,86.37,86.68,86.07,86.34,38.852,-0.03%,31900
2002-10-31,86.05,86.86,86.02,86.73,39.028,+0.45%,512700
2002-11-01,86.30,86.93,85.25,85.98,38.865,-0.86%,125100
2002-11-04,85.48,85.75,85.25,85.60,38.693,-0.44%,342500
2002-11-05,85.60,85.60,85.09,85.27,38.544,-0.39%,73800
2002-11-06,85.05,86.13,84.91,85.61,38.697,+0.40%,118500
2002-11-07,87.05,87.73,86.85,87.73,39.656,+2.48%,147900
2002-11-08,88.40,88.65,87.95,88.44,39.977,+0.81%,294700
2002-11-11,88.55,88.92,88.40,88.92,40.194,+0.54%,70000
2002-11-12,89.15,89.15,88.37,88.41,39.963,-0.57%,494300
2002-11-13,88.45,88.69,87.96,88.60,40.049,+0.21%,104700
2002-11-14,87.65,87.65,86.76,86.76,39.217,-2.08%,118000
2002-11-15,86.54,87.23,86.26,87.11,39.375,+0.40%,110700
2002-11-18,87.02,87.63,86.96,87.50,39.552,+0.45%,32200
2002-11-19,87.95,88.23,87.51,87.82,39.696,+0.37%,51800
2002-11-20,88.20,88.22,86.81,86.96,39.308,-0.98%,307400
2002-11-21,86.50,86.50,85.86,86.12,38.928,-0.97%,323200
2002-11-22,86.33,86.39,85.88,86.04,38.892,-0.09%,184800
2002-11-25,86.00,86.38,85.80,85.88,38.819,-0.19%,288200
2002-11-26,86.20,87.02,86.15,86.96,39.308,+1.26%,377800
2002-11-27,86.25,86.33,84.96,85.00,38.422,-2.25%,325600
2002-11-29,85.16,85.63,85.14,85.55,38.670,+0.65%,31700
2002-12-02,84.36,85.40,84.15,85.24,38.706,-0.36%,284900
2002-12-03,85.70,85.70,85.12,85.36,38.761,+0.14%,113800
2002-12-04,85.90,86.00,85.55,85.80,38.960,+0.52%,129000
2002-12-05,85.28,86.28,85.26,86.02,39.060,+0.26%,206400
2002-12-06,87.00,87.09,85.76,86.17,39.128,+0.17%,440500
2002-12-09,86.20,86.85,86.17,86.65,39.346,+0.56%,400300
2002-12-10,86.61,86.93,86.50,86.88,39.451,+0.27%,151600
2002-12-11,87.15,87.65,86.96,87.46,39.714,+0.67%,163800
2002-12-12,87.06,87.60,87.06,87.38,39.678,-0.09%,135800
2002-12-13,87.14,87.16,86.53,86.53,39.292,-0.97%,425800
2002-12-16,86.90,86.90,85.84,85.88,38.997,-0.75%,115700
2002-12-17,86.30,86.35,85.68,85.88,38.997,+0.00%,290600
2002-12-18,86.48,86.69,86.25,86.55,39.301,+0.78%,191000
2002-12-19,86.80,87.49,86.65,87.32,39.651,+0.89%,134400
2002-12-20,87.23,87.56,87.15,87.38,39.678,+0.07%,41900
2002-12-23,87.36,87.40,86.25,87.40,39.687,+0.02%,74200
2002-12-24,88.00,88.08,87.84,87.89,39.910,+0.56%,46600
2002-12-26,87.90,88.06,87.73,88.06,39.987,+0.19%,13500
2002-12-27,88.55,89.03,88.28,89.03,40.427,+1.10%,140200
2002-12-30,88.90,89.24,88.63,89.24,40.522,+0.24%,274900
2002-12-31,88.95,89.33,88.32,88.57,40.420,-0.75%,109400
2003-01-02,87.70,87.90,86.21,86.28,39.375,-2.59%,192100
2003-01-03,86.15,86.54,85.83,86.48,39.466,+0.23%,311200
2003-01-06,86.17,86.29,85.81,86.25,39.361,-0.27%,35600
2003-01-07,86.19,86.75,86.17,86.56,39.503,+0.36%,69800
2003-01-08,86.88,87.14,86.78,86.99,39.699,+0.50%,160100
2003-01-09,86.17,86.17,85.02,85.32,38.937,-1.92%,237500
2003-01-10,85.92,85.92,85.12,85.54,39.037,+0.26%,145200
2003-01-13,85.54,85.87,85.40,85.68,39.101,+0.16%,53300
2003-01-14,86.00,86.28,85.96,85.98,39.238,+0.35%,98900
2003-01-15,86.28,86.70,86.20,86.40,39.430,+0.49%,129600
2003-01-16,86.38,86.60,85.62,86.52,39.485,+0.14%,57900
2003-01-17,87.10,87.24,86.93,86.95,39.681,+0.50%,97700
2003-01-21,86.88,87.45,86.80,87.45,39.909,+0.58%,107500
2003-01-22,87.68,87.90,87.52,87.88,40.105,+0.49%,107100
2003-01-23,87.32,87.70,87.30,87.45,39.909,-0.49%,110700
2003-01-24,87.74,88.44,87.74,87.97,40.146,+0.59%,285300
2003-01-27,87.90,88.04,87.50,87.65,40.000,-0.36%,150500
2003-01-28,87.65,87.78,87.10,87.65,40.000,+0.00%,454700
2003-01-29,87.83,87.88,86.98,87.17,39.781,-0.55%,221400
2003-01-30,87.20,87.90,87.10,87.82,40.078,+0.75%,108600
2003-01-31,87.90,88.21,87.54,88.06,40.188,+0.27%,182300
2003-02-03,87.67,87.91,87.31,87.88,40.246,-0.20%,55200
2003-02-04,88.37,88.40,88.11,88.27,40.425,+0.44%,56900
2003-02-05,88.23,88.70,87.43,87.51,40.077,-0.86%,223300
2003-02-06,87.84,88.26,87.79,88.22,40.402,+0.81%,120900
2003-02-07,87.77,88.52,87.63,88.42,40.493,+0.23%,247200
2003-02-10,88.12,88.40,87.69,87.80,40.210,-0.70%,76600
2003-02-11,87.60,87.91,87.43,87.78,40.200,-0.02%,259100
2003-02-12,87.80,88.13,87.67,88.09,40.342,+0.35%,121300
2003-02-13,88.27,89.18,88.17,88.57,40.562,+0.54%,440200
